EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
1199,High,High,Best
1200,High,High,Better
1201,High,Very High,Better
1202,Very High,Medium,Better
1203,Very High,Low,Bad
1204,Very High,Low,Better
1205,Medium,Very High,Good
1206,Medium,Low,Better
1207,Very High,High,Better
1208,High,Very High,Better
1209,Very High,Low,Better
1210,Medium,Medium,Better
1211,Very High,Medium,Good
1212,Medium,High,Best
1213,Medium,Very High,Bad
1214,High,Medium,Better
1215,Very High,High,Better
1216,Very High,High,Better
1217,Low,Medium,Better
1218,Very High,Very High,Good
1219,High,Low,Good
1220,Very High,High,Better
1221,Very High,High,Better
1222,High,High,Good
1223,Low,Medium,Better
1224,Very High,High,Better
1225,NA,High,Good
1226,Medium,Very High,Better
1227,High,High,Better
1228,Medium,Low,Better
1229,Low,Medium,Good
1230,Very High,Very High,Good
1231,Low,Very High,Better
1232,Very High,Very High,Better
1233,Low,High,Good
1234,High,Low,Better
1235,Low,Medium,Better
1236,High,Very High,Better
1237,Medium,Low,Better
1238,High,High,Good
1239,Medium,Low,Better
1240,High,Medium,Better
1241,Low,Very High,Better
1242,Medium,Low,Good
1243,High,Very High,Better
1244,Very High,Very High,Best
1245,Very High,High,Better
1246,Very High,Very High,Best
1247,Medium,Very High,Good
1248,Very High,High,Good
1249,Low,High,Better
1250,Very High,Very High,Better
1251,Medium,Low,Best
1252,High,Low,Better
1253,High,Very High,Better
1254,Very High,Low,Better
1255,Low,High,Good
1256,Very High,High,Better
1257,High,Very High,Better
1258,Medium,High,Better
1259,Medium,High,Better
1260,Medium,Medium,Better
1261,Low,Very High,NA
1262,Very High,Very High,Better
1263,Low,High,Better
1264,High,High,Good
1265,Medium,Low,Good
1266,High,Low,Better
1267,High,Very High,Good
1268,Low,Very High,Better
1269,Medium,Low,Good
1270,High,Low,Better
1271,Very High,Very High,Good
1272,Low,High,Best
1273,Low,Very High,Better
1274,Very High,Very High,Better
1275,Medium,High,Good
1276,Low,Low,Good
1277,High,High,Better
1278,Very High,High,Better
1279,Medium,Medium,Better
1280,Medium,Low,Better
1281,Medium,Low,Good
1282,Very High,High,Good
1283,Low,High,Good
1284,High,Medium,Better
1285,High,Medium,Better
1286,Medium,Medium,Better
1287,Medium,Very High,Better
1288,High,Very High,Better
1289,High,Low,Better
1290,Very High,Low,Best
1291,Low,High,Best
1292,Medium,Medium,Better
1293,Very High,Very High,Good
1294,Medium,High,Better
1295,Low,Very High,Better
1296,Medium,Very High,Better
1297,Low,Medium,Better
1298,Very High,Very High,Good
1299,High,Low,Better
1300,Very High,Very High,Better
1301,High,Very High,Better
1302,High,Very High,Better
1303,High,Medium,Good
1304,High,Very High,Bad
1305,High,Medium,Good
1306,High,Low,Good
1307,Medium,High,Better
1308,Low,High,Bad
1309,Low,High,Good
1310,Medium,High,Best
1311,Very High,High,Good
1312,Medium,Medium,Best
1313,High,Low,Better
1314,Very High,Low,Better
1315,Very High,Very High,Better
1316,Low,High,Better
1317,High,Very High,Best
1318,High,Very High,Better
1319,Low,Medium,Good
1320,High,High,Better
1321,Very High,Very High,Better
1322,Medium,Very High,Better
1323,Low,Low,Good
1324,Low,High,NA
1325,Very High,Very High,Better
1326,Medium,High,Better
1327,High,Medium,Better
1328,High,Very High,Better
1329,High,Low,Better
1330,Medium,Very High,Better
1331,Low,Very High,Better
1332,High,Very High,Best
1333,Low,High,Good
1334,High,Medium,Best
1335,Medium,Medium,Better
1336,Low,High,Better
1337,Medium,High,Good
1338,High,Medium,Good
1339,Very High,Very High,Good
1340,Very High,High,Good
1341,High,Very High,Better
1342,High,Low,Good
1343,Medium,High,Better
1344,High,Very High,Better
1345,Medium,High,Better
1346,High,High,Better
1347,High,High,Better
1348,Medium,Medium,Better
1349,Low,Very High,Better
1350,Very High,High,Best
1351,Low,High,Better
1352,High,Very High,Bad
1353,Low,Low,Best
1354,High,Very High,Good
1355,Very High,High,Better
1356,Low,High,Good
1357,Very High,Very High,Best
1358,Very High,Low,Better
1359,Medium,Very High,Better
1360,Very High,Low,Good
1361,High,Low,Better
1362,Medium,Medium,Better
1363,Medium,Medium,Better
1364,High,Medium,Better
1365,Medium,High,Bad
1366,Medium,Medium,Bad
1367,Medium,Very High,Better
1368,Very High,High,Better
1369,Medium,High,Better
1370,Medium,Medium,Good
1371,High,Very High,Good
1372,High,High,Better
1373,High,Very High,Better
1374,Very High,Medium,Bad
1375,High,Very High,Bad
1376,High,Very High,Bad
1377,High,High,Good
1378,High,Medium,Better
1379,Low,High,Better
1380,Medium,Very High,Better
1381,Low,Very High,Best
1382,High,High,Better
1383,High,Medium,Good
1384,High,Low,Best
1385,Very High,Medium,Good
1386,High,Low,Better
1387,High,Low,Best
1388,High,Low,Better
1389,High,Very High,Best
1390,Medium,Very High,Good
1391,Medium,Low,Better
1392,High,Very High,Better
1393,High,Very High,Better
1394,Very High,Medium,Better
1395,Medium,Medium,Good
1396,High,High,Good
1397,Very High,Low,Better
1398,Very High,Medium,Better
1399,Very High,High,Better
1400,High,Medium,Better
1401,Very High,High,Good
1402,Very High,Medium,Better
1403,High,High,Better
1404,Very High,Medium,Good
1405,Medium,High,Better
1406,Very High,Very High,Best
1407,Low,Very High,Better
1408,Medium,Low,NA
1409,Medium,Medium,Better
1410,High,High,Better
1411,Very High,High,Better
1412,Very High,Very High,Bad
1413,High,Low,Better
1414,Very High,Very High,Better
1415,Very High,High,Best
1416,High,Very High,Best
1417,Medium,Low,Better
1418,Medium,Very High,Good
1419,Very High,Medium,Good
1420,Medium,Very High,Better
1421,Very High,Very High,Bad
1422,Very High,Low,Better
1423,Very High,Very High,Good
1424,High,High,Better
1425,Very High,High,Better
1426,Medium,Medium,Bad
1427,Very High,Low,Better
1428,Very High,Very High,Better
1429,High,Low,Good
1430,High,High,Good
1431,Very High,Very High,Better
1432,Very High,Low,Better
1433,Very High,Medium,Best
1434,High,Medium,Better
1435,Medium,Very High,Better
1436,Low,High,Good
1437,High,High,Better
1438,High,Very High,Better
1439,Low,Very High,Better
1440,Medium,Very High,Better
1441,High,High,Best
1442,High,Very High,Good
1443,High,Very High,Good
1444,High,Very High,Better
1445,Medium,High,Good
1446,Very High,Very High,Good
1447,High,Very High,Bad
1448,Very High,Very High,Better
1449,Low,Low,Best
1450,Low,High,Best
1451,High,Medium,Better
1452,Very High,High,Bad
1453,High,High,Better
1454,High,Very High,Better
1455,High,Low,Good
1456,Low,Very High,Better
1457,High,Very High,Better
1458,Medium,High,Better
1459,High,Very High,Good
1460,Very High,Low,Better
1461,High,Low,Good
1462,Low,High,Better
1463,Low,High,Better
1464,High,High,Better
1465,High,Very High,Better
1466,Very High,Low,Better
1467,Very High,Very High,Better
1468,Low,High,Better
1469,Very High,NA,Better
1470,Low,High,Better
1471,High,Very High,NA
1472,High,Medium,Best
1473,Medium,Medium,Bad
1474,Very High,Very High,Better
1475,Very High,Low,Better
1476,High,Medium,Good
1477,NA,High,Bad
1478,Low,Medium,Better
1479,Medium,Very High,Better
1480,Medium,Low,Better
1481,High,Very High,Better
1482,Very High,Very High,Better
1483,Very High,Low,Better
1484,Low,Medium,Good
1485,Very High,Very High,Good
1486,High,Very High,Best
1487,Very High,High,Best
1488,Low,Very High,Better
1489,Medium,Medium,Good
1490,Low,Low,Better
1491,High,Medium,Bad
1492,Low,Medium,Good
1493,High,High,Good
1494,Medium,High,Better
1495,Medium,Very High,Good
1496,Medium,Very High,Better
1497,Low,Low,Better
1498,Very High,Very High,Better
1499,Very High,High,Bad
1500,Very High,Very High,Better
1501,Low,Medium,Better
1502,Very High,Very High,Better
1503,High,Low,Better
1504,High,Medium,Better
1505,Very High,Medium,Good
1506,Very High,Very High,Better
1507,Medium,Very High,Good
1508,High,Medium,Best
1509,High,High,Better
1510,High,Medium,Good
1511,High,Very High,Better
1512,Very High,Medium,Better
1513,Very High,Medium,Better
1514,Very High,High,Better
1515,Medium,Low,Better
1516,Medium,Very High,Good
1517,High,Very High,Good
1518,Medium,Medium,Better
1519,Very High,High,Good
1520,Low,Medium,Better
1521,Very High,High,Better
1522,High,Very High,Better
1523,Low,Low,Better
1524,Low,Low,Better
1525,High,Very High,Bad
1526,Very High,Medium,Better
1527,High,Low,Better
1528,High,Very High,Better
1529,High,High,Better
1530,High,Medium,Good
1531,High,Medium,Good
1532,High,Medium,Better
1533,Very High,High,Better
1534,Very High,Very High,NA
1535,Low,Very High,Good
1536,Low,Very High,Good
1537,Very High,Very High,Better
1538,High,High,Better
1539,High,Very High,Better
1540,Very High,High,Good
1541,Medium,Very High,Good
1542,Very High,High,Better
1543,High,High,Best
1544,High,Medium,Better
1545,Very High,High,Good
1546,High,Low,Good
1547,Very High,Very High,Better
1548,Medium,Very High,Good
1549,Medium,Low,Good
1550,Medium,Very High,Better
1551,Very High,High,Better
1552,Medium,Medium,Better
1553,Very High,Very High,Good
1554,High,Very High,Better
1555,High,Very High,Good
1556,Very High,Medium,Better
1557,High,Medium,Better
1558,High,Very High,Good
1559,Very High,Medium,Better
1560,Medium,High,Better
1561,Low,Very High,Better
1562,Very High,High,Good
1563,High,High,Better
1564,High,Medium,Better
1565,Low,High,Bad
1566,High,Low,Better
1567,Very High,High,Best
1568,High,High,Better
1569,Low,Very High,Better
1570,Low,Medium,Better
1571,Very High,Very High,Better
1572,Low,Very High,Better
1573,Very High,High,Better
1574,Very High,High,Better
1575,Low,Very High,Good
1576,Very High,High,Better
1577,High,Low,Better
1578,High,High,Best
1579,Low,Medium,Better
1580,Very High,Very High,Better
1581,High,High,Better
1582,High,Medium,Better
1583,High,Medium,Better
1584,Very High,Very High,Better
1585,High,Medium,Better
1586,Very High,Medium,Better
1587,Medium,Very High,Better
1588,Medium,High,Better
1589,High,Very High,Good
1590,Very High,High,Better
1591,Low,Very High,Good
1592,High,Very High,Better
1593,Very High,High,Best
1594,High,Medium,Better
1595,High,Low,Better
1596,Low,Medium,Better
1597,Medium,High,NA
1598,High,Very High,Better
1599,Very High,Low,Good
1600,Very High,Medium,Better
1601,Medium,Low,Better
1602,High,Medium,Good
1603,Low,Medium,Better
1604,Medium,High,Better
1605,Low,Low,Good
1606,High,High,Better
1607,Medium,Low,Bad
1608,Very High,Very High,Better
1609,High,High,Better
1610,Medium,Very High,Better
1611,Medium,High,Better
1612,Very High,Low,Better
1613,Medium,High,Better
1614,High,Low,Good
1615,Medium,High,Better
1616,Medium,Low,Better
1617,High,Low,Better
1618,Low,Low,Better
1619,Very High,High,Better
1620,Low,Very High,Good
1621,Very High,Very High,Bad
1622,Low,High,Better
1623,High,Very High,Better
1624,Low,Low,Bad
1625,High,High,Good
1626,Very High,Very High,Best
1627,Low,Medium,Better
1628,Very High,High,Good
1629,Very High,Very High,Better
1630,High,High,Better
1631,Low,Very High,Bad
1632,High,Very High,Bad
1633,Medium,High,Better
1634,High,Medium,Best
1635,Low,Very High,Best
1636,High,Low,Better
1637,Low,Very High,Good
1638,Medium,High,Better
1639,High,Very High,Good
1640,High,Low,Best
1641,Low,Very High,Better
1642,Low,High,Bad
1643,Very High,High,Better
1644,High,High,Better
1645,Very High,High,Better
1646,High,Very High,Better
1647,High,Medium,Best
1648,Medium,High,Best
1649,Low,Very High,Better
1650,Very High,Medium,Better
1651,Very High,High,Better
1652,Low,High,Better
1653,Medium,Low,Better
1654,Medium,High,Better
1655,Medium,Very High,Good
1656,High,High,Better
1657,Medium,Very High,Better
1658,Low,Medium,Better
1659,Very High,Very High,Better
1660,Medium,High,NA
1661,Medium,High,Better
1662,High,High,Better
1663,Medium,Very High,Best
1664,Very High,Low,Good
1665,Very High,Medium,Best
1666,Medium,High,Good
1667,Very High,Very High,Best
1668,Low,High,Better
1669,High,Very High,Good
1670,Medium,Medium,Better
1671,High,Low,Better
1672,Low,High,Better
1673,Low,High,Better
1674,Low,High,Better
1675,Very High,Very High,Better
1676,High,Very High,Bad
1677,Medium,Very High,Best
1678,Low,High,Good
1679,Medium,NA,Better
1680,Low,Medium,Better
1681,Very High,Low,Better
1682,Very High,High,Better
1683,Very High,Very High,Better
1684,High,High,Better
1685,Medium,Medium,Good
1686,Very High,High,Better
1687,Medium,Very High,Better
1688,Low,Medium,Best
1689,Very High,Medium,Better
1690,Low,Medium,Better
1691,Medium,High,Better
1692,Low,High,Better
1693,Medium,Low,Best
1694,Medium,Very High,Better
1695,Medium,Low,Bad
1696,Low,Very High,Better
1697,Low,Very High,Best
1698,Low,High,Good
1699,Very High,High,Good
1700,Very High,Medium,Best
1701,High,Very High,Better
1702,Medium,Very High,Good
1703,High,Low,Good
1704,Very High,High,Better
1705,Very High,Low,Bad
1706,Low,High,Best
1707,High,High,Better
1708,High,Low,Better
1709,High,High,Better
1710,Very High,Very High,Best
1711,Low,High,Better
1712,High,High,Better
1713,Low,Very High,Good
1714,High,High,Better
1715,Very High,Low,Best
1716,Medium,Very High,Good
1717,Low,Low,Better
1718,High,Very High,Better
1719,High,High,Better
1720,Medium,High,Good
1721,Medium,Very High,Better
1722,High,Very High,Bad
1723,High,Medium,NA
1724,Medium,Medium,Better
1725,Low,Very High,Better
1726,Very High,High,Better
1727,Low,Low,Better
1728,High,High,Better
1729,Low,Low,Best
1730,Very High,Medium,Better
1731,Very High,Very High,Better
1732,Medium,Very High,Better
1733,Medium,Medium,Better
1734,Very High,Very High,Better
1735,Very High,Very High,Better
1736,Very High,High,Better
1737,Very High,Medium,Best
1738,Low,High,Better
1739,Very High,High,Better
1740,Very High,Very High,Good
1741,Medium,High,Better
1742,Medium,Very High,Good
1743,High,Low,Better
1744,High,Very High,Better
1745,Very High,Low,Better
1746,Very High,Low,Better
1747,High,High,Better
1748,Medium,Very High,Good
1749,Low,Low,Better
1750,Very High,Low,Good
1751,Very High,High,Better
1752,Very High,Medium,Better
1753,Low,Medium,Better
1754,Low,Low,Better
1755,High,High,Best
1756,Low,High,Better
1757,Very High,High,Good
1758,High,Very High,Good
1759,High,High,Better
1760,High,High,Better
1761,Very High,Very High,Better
1762,Medium,High,Better
1763,Medium,Low,Best
1764,High,Medium,Bad
1765,High,Very High,Good
1766,Very High,Very High,Good
1767,Very High,Low,Bad
1768,Very High,Medium,Better
1769,Very High,Very High,Better
1770,Very High,Low,Best
1771,Low,Very High,Better
1772,Very High,High,Bad
1773,Medium,Low,Better
1774,High,Low,Best
1775,Very High,Very High,Good
1776,High,Very High,Good
1777,Medium,High,Better
1778,Low,High,Better
1779,Medium,High,Better
1780,Very High,Very High,Better
1781,Very High,Low,Better
1782,Low,Low,Better
1783,Very High,Very High,Better
1784,Low,Very High,Better
1785,Medium,High,Good
1786,Very High,Low,NA
1787,Medium,Very High,Better
1788,Very High,Low,Better
1789,High,Very High,Better
1790,Very High,Low,Good
1791,Low,Low,Better
1792,High,Low,Better
1793,Low,Very High,Good
1794,Very High,High,Better
1795,High,Medium,Better
1796,High,Low,Better
1797,Medium,Very High,Good
1798,High,Low,Better
1799,High,Medium,Better
1800,Very High,High,Better
1801,High,High,Better
1802,Medium,Low,Better
1803,High,High,Best
1804,Low,Low,Better
1805,High,Very High,Good
1806,High,Medium,Better
1807,High,High,Better
1808,Very High,Medium,Better
1809,Very High,High,Better
1810,Very High,Very High,Better
1811,High,High,Good
1812,High,Medium,Better
1813,NA,High,Better
1814,Low,High,Better
1815,High,Very High,Good
1816,Medium,High,Better
1817,Medium,Medium,Good
1818,Low,Low,Good
1819,High,Very High,Better
1820,High,Very High,Best
1821,High,Very High,Good
1822,Medium,Low,Better
1823,High,Very High,Better
1824,High,High,Best
1825,Medium,Medium,Better
1826,High,Very High,Bad
1827,High,High,Better
1828,Very High,Very High,Good
1829,Low,High,Good
1830,Very High,Medium,Good
1831,Low,Low,Good
1832,Low,Low,Better
1833,High,Low,Good
1834,Medium,Very High,Good
1835,Medium,Very High,Good
1836,Medium,Very High,Good
1837,Low,Very High,Better
1838,Very High,Low,Better
1839,High,High,Good
1840,High,Very High,Better
1841,Very High,High,Better
1842,Medium,Very High,Better
1843,Very High,Very High,Bad
1844,Low,Very High,Good
1845,Medium,Very High,Better
1846,Low,Low,Better
1847,High,Low,Better
1848,Very High,High,Better
1849,Very High,Medium,NA
1850,Very High,Very High,Better
1851,High,Low,Best
1852,High,Low,Better
1853,Low,Very High,Good
1854,Medium,Medium,Better
1855,Medium,Medium,Better
1856,High,Very High,Good
1857,Very High,Very High,Better
1858,Medium,High,Better
1859,Low,Very High,Better
1860,Very High,Medium,Better
1861,High,Very High,Better
1862,Very High,Very High,Better
1863,Very High,Very High,Good
1864,High,Very High,Better
1865,Low,Medium,Better
1866,Low,Low,Better
1867,Very High,Very High,Better
1868,Very High,Medium,Best
1869,Low,Very High,Bad
1870,Low,Very High,Better
1871,Medium,Low,Better
1872,Low,Very High,Better
1873,Very High,Very High,Good
1874,Low,Medium,Best
1875,High,High,Good
1876,Very High,Very High,Good
1877,High,Very High,Good
1878,Very High,Very High,Good
1879,Medium,High,Best
1880,Medium,Very High,Good
1881,High,High,Better
1882,Very High,Low,Bad
1883,Medium,High,Better
1884,Medium,Medium,Better
1885,High,High,Better
1886,High,Low,Better
1887,High,Medium,Better
1888,Medium,High,Best
1889,Very High,Very High,Bad
1890,Low,Medium,Good
1891,Very High,High,Good
1892,Very High,High,Good
1893,Medium,Very High,Better
1894,Very High,Low,Better
1895,High,Medium,Better
1896,High,Medium,Better
1897,Low,Medium,Good
1898,High,Low,Better
1899,Very High,Low,Better
1900,High,High,Better
1901,Very High,Medium,Best
1902,Low,Low,Better
1903,Very High,Very High,Bad
1904,Very High,Medium,Better
1905,High,Low,Best
1906,High,Very High,Better
1907,Medium,Very High,Better
1908,Low,High,Bad
1909,High,Medium,Good
1910,High,NA,Better
1911,High,High,Better
1912,Very High,Very High,NA
1913,Very High,High,Better
1914,High,High,Best
1915,High,High,Best
1916,High,Very High,Better
1917,Very High,Very High,Better
1918,Low,High,Better
1919,Medium,Medium,Good
1920,High,High,Best
1921,Low,Very High,Better
1922,High,Low,Better
1923,Very High,High,Better
1924,Very High,Low,Better
1925,Medium,Very High,Better
1926,Very High,Very High,Better
1927,Very High,Very High,Good
1928,High,Medium,Better
1929,Low,High,Best
1930,High,Medium,Better
1931,Very High,Low,Better
1932,Very High,Very High,Better
1933,Low,High,Better
1934,Very High,High,Better
1935,High,High,Good
1936,Very High,High,Better
1937,Very High,High,Better
1938,High,Medium,Bad
1939,High,Low,Better
1940,Medium,Very High,Better
1941,High,High,Better
1942,High,High,Good
1943,Medium,Low,Good
1944,Very High,Low,Better
1945,Medium,Medium,Better
1946,Very High,Very High,Better
1947,Medium,Low,Good
1948,Low,High,Better
1949,High,High,Better
1950,Very High,High,Better
1951,Very High,Very High,Better
1952,Low,Very High,Better
1953,Medium,Very High,Good
1954,Very High,High,NA
1955,Low,Very High,Better
1956,High,Very High,Better
1957,Low,Medium,Bad
1958,High,Medium,Better
1959,Medium,High,Better
1960,Medium,Very High,Better
1961,Medium,Low,Better
1962,Low,Very High,Better
1963,Very High,Very High,Better
1964,Very High,High,Better
1965,High,Low,Better
1966,Very High,Low,Better
1967,Medium,Very High,Good
1968,Very High,Very High,Best
1969,Very High,High,Better
1970,Medium,Very High,Good
1971,Medium,Very High,Bad
1972,Medium,Medium,Better
1973,High,Medium,Better
1974,Low,High,Good
1975,Low,Low,Better
1976,High,High,Better
1977,Very High,Medium,Better
1978,High,High,Better
1979,Medium,High,Good
1980,Very High,Medium,Good
1981,High,Low,Good
1982,Low,High,Better
1983,Very High,Very High,Better
1984,High,High,Better
1985,Low,High,Better
1986,Very High,Very High,Good
1987,High,Low,Best
1988,High,Very High,Better
1989,Very High,Very High,Better
1990,High,Low,Good
1991,Very High,Low,Better
1992,Low,High,Best
1993,Medium,Low,Good
1994,Low,Low,Better
1995,High,Low,Good
1996,Medium,High,Better
1997,High,High,Good
1998,Low,Very High,Better
1999,Low,High,Better
2000,Very High,Medium,Better
2001,High,High,Best
2002,Medium,Low,Better
2003,Very High,Very High,Better
2004,Very High,Low,Better
2005,Low,High,Better
2006,Low,High,Good
2007,Low,Very High,Good
2008,Very High,Very High,Better
2009,Very High,Very High,Best
2010,Low,High,Good
2011,Low,Medium,Better
2012,Very High,Low,Better
2013,Low,Medium,Better
2014,Very High,High,Better
2015,Very High,Medium,Better
2016,High,Very High,Better
2017,Low,Very High,NA
2018,Medium,High,Better
2019,Medium,Medium,Better
2020,High,High,Better
2021,High,Very High,Better
2022,Very High,Medium,Good
2023,Low,High,Better
2024,Very High,Medium,Better
2025,High,Low,Better
2026,Low,Very High,Better
2027,High,High,Best
2028,Very High,Medium,Best
2029,High,Medium,Good
2030,Low,Very High,Better
2031,High,Very High,Better
2032,Low,Medium,Bad
2033,Very High,Very High,Better
2034,Very High,Medium,Better
2035,Very High,High,Good
2036,Very High,Medium,Good
2037,Medium,Very High,Better
2038,Medium,Very High,Good
2039,High,High,Best
2040,High,High,Better
2041,High,High,Better
2042,Low,Low,Better
2043,Medium,Very High,Better
2044,High,High,Good
2045,High,Very High,Better
2046,Very High,High,Better
2047,Medium,High,Good
2048,High,High,Bad
2049,Very High,Low,Bad
2050,Medium,High,Good
2051,High,Low,Good
2052,Medium,Low,Best
2053,Very High,High,Better
2054,Very High,Medium,Better
2055,High,Very High,Good
2056,Low,Very High,Better
2057,High,High,Better
2058,High,Very High,Bad
2059,High,Medium,Best
2060,Very High,Low,Better
2061,Very High,Very High,Best
2062,Low,High,Good
2063,High,Low,Better
2064,Very High,Low,Better
2065,Medium,Very High,Better
2066,High,Low,Better
2067,Low,High,Good
2068,Very High,Very High,Good
2069,Low,High,Good
2070,High,High,Better
2071,Very High,High,Better
2072,Medium,Very High,Good
2073,High,Very High,Better
2074,High,Low,Better
2075,Very High,High,Better
2076,Medium,High,Better
2077,Low,Low,Bad
2078,High,Low,Better
2079,Medium,Medium,Better
2080,Very High,Low,NA
2081,Very High,Low,Better
2082,Very High,Medium,Better
2083,High,Low,Better
2084,Very High,Medium,Bad
2085,Medium,High,Good
2086,High,High,Better
2087,High,High,Good
2088,Very High,Very High,Better
2089,High,Very High,Better
2090,Very High,Very High,Good
2091,Very High,Low,Best
2092,Medium,Very High,Better
2093,High,Medium,Better
2094,Very High,High,Better
2095,High,Low,Better
2096,Low,Very High,Better
2097,Medium,Medium,Best
2098,High,Very High,Better
2099,Very High,Medium,Better
2100,Low,Low,Better
2101,High,Very High,Good
2102,Low,Low,Good
2103,Very High,High,Bad
2104,Low,Very High,Better
2105,Low,Medium,Best
2106,Low,Very High,Better
2107,Very High,Very High,Better
2108,High,Low,Good
2109,High,Low,Better
2110,High,Very High,Better
2111,High,Very High,Better
2112,Low,High,Best
2113,High,Medium,Good
2114,Very High,Medium,Good
2115,Low,High,Better
2116,High,Very High,Better
2117,Very High,Very High,Best
2118,Very High,Very High,Good
2119,High,High,Good
2120,Medium,Medium,Better
2121,Very High,High,Better
2122,Medium,Very High,Better
2123,Very High,High,Better
2124,High,Very High,Better
2125,High,Very High,Good
2126,Low,Medium,Better
2127,Very High,Medium,Better
2128,Low,High,Bad
2129,Very High,Medium,Better
2130,High,Low,Better
2131,Very High,Medium,Good
2132,Very High,Very High,Good
2133,High,Medium,Best
2134,Very High,High,Good
2135,High,Low,Good
2136,High,Medium,Best
2137,High,High,Better
2138,Medium,Medium,Better
2139,Very High,Very High,Best
2140,High,Medium,Better
2141,Low,Very High,Better
2142,Very High,Very High,Better
2143,Medium,High,NA
2144,High,High,Better
2145,Medium,High,Better
2146,Very High,Low,Good
2147,Very High,Medium,Good
2148,High,Very High,Best
2149,NA,Medium,Better
2150,High,Medium,Better
2151,Low,High,Better
2152,Very High,High,Better
2153,High,Low,Better
2154,Low,Very High,Better
2155,Very High,High,Better
2156,Very High,Low,Best
2157,High,Very High,Better
2158,Very High,Low,Better
2159,Very High,Medium,Better
2160,Medium,Medium,Good
2161,Medium,Low,Better
2162,Low,High,Better
2163,Very High,High,Good
2164,High,Medium,Better
2165,Very High,Medium,Best
2166,Low,Low,Best
2167,High,High,Good
2168,Very High,High,Better
2169,Very High,Medium,Better
2170,High,High,Better
2171,Very High,Very High,Good
2172,High,Very High,Better
2173,High,Low,Better
2174,High,High,Better
2175,High,Medium,Better
2176,Medium,Low,Better
2177,High,Low,Best
2178,Very High,Very High,Good
2179,High,Low,Good
2180,Medium,Medium,Better
2181,Low,Low,Good
2182,Very High,Very High,Better
2183,High,NA,Better
2184,Very High,Medium,Good
2185,Very High,Very High,Best
2186,Very High,Very High,Better
2187,Very High,Very High,Better
2188,Low,High,Good
2189,Very High,Medium,Better
2190,Low,High,Better
2191,Medium,High,Better
2192,Medium,High,Better
2193,High,Very High,Best
2194,Very High,High,Good
2195,Very High,High,Better
2196,High,Very High,Best
2197,High,Low,Better
2198,Very High,High,Good
2199,Low,Very High,Best
2200,Medium,Medium,Better
2201,Very High,Very High,Good
2202,High,High,Better
2203,Medium,Very High,Best
2204,High,Medium,Good
2205,High,High,Better
2206,Low,High,Good
2207,Very High,High,Good
2208,Low,High,Bad
2209,Very High,Very High,Better
2210,Very High,High,Better
2211,Low,Very High,Better
2212,High,Low,Better
2213,High,Low,Bad
2214,Low,High,Better
2215,High,Very High,Better
2216,Low,Very High,Good
2217,High,Low,Better
2218,Medium,Low,Good
2219,Low,Low,Better
2220,High,Very High,Better
2221,Very High,Very High,Good
2222,Very High,Low,Better
2223,Medium,Very High,Best
2224,Low,Medium,Better
2225,Medium,High,Better
2226,Very High,Low,Better
2227,Low,Medium,NA
2228,Very High,Low,Better
2229,Low,Medium,Best
2230,Medium,Low,Best
2231,Low,Very High,Good
2232,High,Low,Good
2233,Low,Very High,Good
2234,Low,Low,Better
2235,High,High,Bad
2236,Low,Low,Best
2237,Low,High,Best
2238,Very High,High,Better
2239,Very High,Very High,Good
2240,Very High,Medium,Good
2241,Medium,High,Good
2242,High,High,Best
2243,Low,Very High,Better
2244,Low,Very High,Best
2245,Low,Low,Best
2246,High,Medium,Better
2247,Medium,Low,Better
2248,Very High,Medium,Better
2249,Medium,Very High,Bad
2250,Medium,Very High,Best
2251,High,Low,Better
2252,Low,High,Better
2253,Very High,Medium,Better
2254,Very High,Low,Better
2255,High,High,Better
2256,Very High,Medium,Good
2257,Low,High,Good
2258,High,High,Best
2259,Very High,Medium,Good
2260,Very High,Low,Better
2261,Very High,Low,Better
2262,Very High,High,Good
2263,Low,Very High,Better
2264,Low,High,Good
2265,High,High,Good
2266,Medium,High,Good
2267,High,Medium,Better
2268,Medium,Low,Good
2269,Low,High,Best
2270,Low,Medium,Bad
2271,Low,Medium,Best
2272,Very High,High,Better
2273,Medium,Low,Good
2274,Very High,Medium,Better
2275,Medium,High,Good
2276,High,High,Better
2277,High,High,Best
2278,Very High,High,Better
2279,Low,Medium,Better
2280,High,High,Good
2281,High,Low,Good
2282,Low,High,Bad
2283,High,Low,Better
2284,High,Low,Better
2285,Very High,Medium,Better
2286,High,Medium,Good
2287,Very High,High,Better
2288,High,Very High,Best
2289,Medium,Very High,Better
2290,Low,Low,Bad
2291,Very High,Low,Best
2292,Medium,Medium,Better
2293,High,Medium,Best
2294,Very High,Medium,Bad
2295,Low,High,Better
2296,Very High,Low,Bad
2297,Very High,High,Better
2298,Very High,High,Bad
2299,High,Very High,Better
2300,Medium,High,Better
2301,High,Medium,Better
2302,Low,Very High,Better
2303,High,Low,Better
2304,Very High,Medium,Better
2305,Very High,Very High,Better
2306,Very High,Very High,Bad
2307,Low,Low,Best
2308,Medium,High,Better
2309,High,Very High,Better
2310,High,Low,Better
2311,Very High,Very High,NA
2312,Low,Medium,Better
2313,Medium,High,Better
2314,Very High,Medium,Better
2315,High,Very High,Good
2316,High,High,Better
2317,High,High,Good
2318,Low,Low,Bad
2319,Medium,Low,Better
2320,High,High,Better
2321,Very High,Low,Better
